HIP,TFOPWG Disposition
74,PC
848,APC
1419,CP
3911,CP
4460,APC
4468,PC
4548,PC
4599,PC
4739,CP
6105,FP
6365,CP
7060,FP
7132,FP
7562,KP
7730,APC
8152,CP
9618,CP
10229,PC
10389,PC
10779,PC
11397,KP
11836,PC
11865,CP
12548,FA
13192,KP
13224,CP
13363,CP
13754,CP
13913,PC
14145,FP
14710,CP
14982,PC
15053,APC
15407,APC
15767,FP
16038,CP
16212,FP
16216,PC
16521,FA
16881,PC
17047,CP
17264,CP
17540,CP
17668,PC
18761,FP
18893,CP
19950,CP
19989,FP
20295,CP
20334,PC
20504,PC
20528,CP
21000,FP
21223,PC
21952,APC
22084,FA
22414,PC
22838,PC
24007,FP
24061,FA
24323,KP
24689,FP
24718,CP
24830,PC
24877,PC
25359,PC
25670,FP
25775,APC
25827,PC
26013,CP
26250,CP
27515,PC
27695,PC
27844,FP
27849,CP
28122,FA
29118,PC
29301,KP
29442,CP
30310,PC
30465,PC
31179,PC
32099,PC
32209,KP
32483,FP
32674,PC
32775,PC
33170,FP
33212,PC
33304,PC
33609,PC
33681,APC
34209,PC
34269,CP
34271,CP
34519,FP
36272,PC
36612,FP
36964,PC
38093,APC
38228,CP
38374,CP
38542,PC
38729,PC
39624,PC
40585,PC
40694,PC
41378,KP
41565,PC
41603,FP
41849,FP
42067,FP
42401,CP
42403,PC
42654,FP
43991,APC
44094,APC
44289,PC
44302,APC
44664,FP
44746,CP
45012,PC
45621,APC
45961,PC
46369,PC
46594,PC
46885,PC
47116,APC
47288,CP
47371,FP
47990,FA
48146,FP
48739,CP
49508,PC
49531,PC
49576,CP
49678,PC
50469,APC
50496,KP
50568,PC
50807,PC
51260,KP
51271,FP
51743,PC
52733,KP
52796,KP
53534,FP
54186,CP
54491,CP
54597,PC
54906,KP
55069,PC
56031,PC
57350,PC
57386,PC
58234,APC
60689,CP
61278,FP
61637,PC
61723,CP
61737,FP
61820,CP
62662,CP
62908,CP
64184,PC
64573,PC
65205,APC
65469,CP
65489,FA
66192,KP
66730,PC
66954,PC
67522,KP
67650,APC
69240,PC
69275,PC
69332,APC
69858,PC
70705,CP
70833,FP
71409,PC
71815,FP
72490,FP
72777,FP
73427,CP
73765,FP
73869,CP
74326,CP
74576,PC
74685,FP
77073,PC
77717,FP
77921,PC
78301,PC
78892,PC
79105,FP
79823,PC
79876,PC
80076,KP
80243,PC
80264,PC
80838,KP
81087,PC
82032,FP
83168,FA
83359,FA
83827,CP
84062,FA
84840,FP
85072,APC
85268,CP
85444,FA
85583,APC
86040,CP
86067,PC
86844,PC
88071,FA
91434,FP
91906,PC
92146,PC
92247,PC
92759,PC
92848,PC
93711,FA
94235,CP
95348,FP
95502,FP
95526,FP
95774,FP
96160,CP
96618,KP
96902,FP
97166,CP
98316,PC
98516,APC
98726,APC
99175,CP
99212,CP
99227,APC
99628,APC
100577,PC
101252,KP
101503,CP
101511,PC
102133,PC
102295,PC
102460,FP
102712,FP
104051,CP
104513,KP
105363,FP
106097,CP
106386,FP
107911,PC
108162,FP
108390,FP
108859,KP
109028,PC
109669,FP
110692,CP
110758,KP
111553,CP
111636,PC
111842,APC
112100,PC
112363,APC
113103,KP
113195,PC
113293,PC
113300,PC
113609,APC
113831,PC
114003,FA
114576,PC
114941,PC
115358,PC
115594,PC
115710,FP
115828,PC
116061,APC
116158,CP
116726,APC
116748,CP
116907,PC
117249,PC
117250,PC
117382,PC
118045,FP
